idIES;sigla_IES
1;CBPF 
2;CDTN 
3;CEBELA 
4;CEFET/MA 
5;CEFET/MG 
6;CEFET/RJ 
7;CES/JF 
8;CEUMAR 
9;CIP 
10;CPqGM/FIOC 
11;CPqRR 
12;CUML 
13;CUSC 
14;EBMED 
15;EEM 
16;ENCE 
17;ESAM 
18;ESPM 
19;EST 
20;FADISP 
21;FAENQUIL 
22;FAFEID 
23;FAJE 
24;FAM 
25;FAMERP 
26;FAP 
27;FASM 
28;FCMSCSP 
29;FCSCL 
30;FDC 
31;FDMC 
32;FDV 
33;FEESR 
34;FEEVALE 
35;FEI 
36;FEPAR 
37;FESP/UPE 
38;FESURV 
39;FFFCMPA 
40;FGV/RJ 
41;FGV/SP 
42;FIC 
43;FIOCRUZ 
44;FJP 
45;FMABC 
46;FNH 
47;FUC 
48;FUFPI 
49;FUFSE 
50;FUNDINOPI 
51;FUNECE 
52;FURB 
53;FURG 
54;FVC 
55;HOSPHEL 
56;IAC 
57;IAMSPE 
58;IBT 
59;IFT/UNESP 
60;IME 
61;IMES 
62;IMIP 
63;IMPA-OS 
64;INATEL 
65;INCA 
66;INPA 
67;INPE 
68;IP 
69;IPSEMG 
70;IRD 
71;ITA 
72;ITE 
73;IUPERJ 
74;JBRJ 
75;LNCC 
76;NESC/CPqAM 
77;ON 
78;PUC/MG 
79;PUC/PR 
80;PUC/RS 
81;PUC/SP 
82;PUCCAMP 
83;PUC-RIO 
84;SCMBH 
85;SENAC 
86;SLMANDIC 
87;UBC 
88;UCAM 
89;UCB 
90;UCB/RJ 
91;UCDB 
92;UCGO 
93;UCP/RJ 
94;UCPEL 
95;UCS 
96;UCSAL 
97;UDESC 
98;UEA 
99;UEFS 
100;UEG 
101;UEL 
102;UEM 
103;UEMA 
104;UENF 
105;UEPa 
106;UEPB 
107;UEPG 
108;UERJ 
109;UESB 
110;UESC 
111;UFAC 
112;UFAL 
113;UFAM 
114;UFBA 
115;UFC 
116;UFCG 
117;UFES 
118;UFF 
119;UFG 
120;UFGD 
121;UFJF 
122;UFLA 
123;UFMA 
124;UFMG 
125;UFMS 
126;UFMT 
127;UFOP 
128;UFPA 
129;UFPB/AREIA 
130;UFPB/J.P. 
131;UFPE 
132;UFPEL 
133;UFPR 
134;UFRA 
135;UFRB 
136;UFRGS 
137;UFRJ 
138;UFRN 
139;UFRPE 
140;UFRR 
141;UFRRJ 
142;UFSC 
143;UFSCAR 
144;UFSJ 
145;UFSM 
146;UFT 
147;UFTM 
148;UFU 
149;UFV 
150;UGF 
151;ULBRA 
152;UMC 
153;UMESP 
154;UNA 
155;UNAERP 
156;UNAMA 
157;UNB 
158;UNC 
159;UNEB 
160;UNEMAT 
161;UNESA 
162;UNESC 
163;UNESP 
164;UNESP/Araç 
165;UNESP/ARAR 
166;UNESP/ASS 
167;UNESP/BAU 
168;UNESP/BOT 
169;UNESP/FR 
170;UNESP/GUAR 
171;UNESP/IS 
172;UNESP/JAB 
173;UNESP/MAR 
174;UNESP/PP 
175;UNESP/RC 
176;UNESP/SJC 
177;UNESP/SJRP 
178;UnG 
179;UNIANDRADE 
180;UNIARA 
181;UNIB 
182;UNICAMP 
183;UNICAMP/Pi 
184;UNICAP 
185;UNICENP 
186;UNICENTRO 
187;UniCEUB 
188;UNICID 
189;UNICSUL 
190;UNIDERP 
191;UNIEURO 
192;UNIEVANGEL 
193;UNIFACS 
194;UNIFAE 
195;UNIFAI 
196;UNIFAL 
197;UNIFAP 
198;UniFECAP 
199;UNIFEI 
200;UNIFENAS 
201;UNIFESP 
202;UNIFIEO 
203;UNIFOR 
204;UNIFRAN 
205;UNIJUÍ 
206;UNILESTE 
207;UNIMAR 
208;UNIMARCO 
209;UNIMEP 
210;UNIMES 
211;UNIMONTES 
212;UNINCOR 
213;UNINlLTON 
214;UNINOVE 
215;UNIOESTE 
216;UNIP 
217;UNIPAR 
218;UNIR 
219;UNIRIO 
220;UNISA 
221;UNISAL 
222;UNISANTOS 
223;UNISC 
224;UNISINOS 
225;UNISO 
226;UNISUL 
227;UNITAU 
228;UNITOLEDO 
229;UNITRI 
230;UNIT-SE 
231;UNIUBE 
232;UNIVALE 
233;UNIVALI 
234;UNIVAP 
235;UNIVATES 
236;UNIVERSO 
237;UNIVILLE 
238;UNOCHAPECÓ 
239;UNOESTE 
240;UNOPAR 
241;UNP 
242;UPF 
243;UPIS 
244;UPM 
245;URI 
246;USC 
247;USF 
248;USJT 
249;USP 
250;USP/CENA 
251;USP/ESALQ 
252;USP/FOB 
253;USP/RP 
254;USP/SC 
255;USS 
256;USU 
257;UTFPR 
258;UTP 
259;UVA 
